d,agent_energy0,pred_energy0,speed,seed,A_outcome,F_outcome,A_event_time,F_event_time,delta_event_time_F_minus_A_if_both_captured,A_min_sep,F_min_sep,delta_min_sep_F_minus_A,A_time_chase,F_time_chase,A_time_circle,F_time_circle,A_turn_cost,F_turn_cost,common_alive_steps,max_agent_pos_diff_common,max_pred_pos_diff_common,dE_agent_F_minus_A_t1.0,dSep_F_minus_A_t1.0,dE_agent_F_minus_A_t2.0,dSep_F_minus_A_t2.0,dE_agent_F_minus_A_t5.0,dSep_F_minus_A_t5.0,dE_agent_F_minus_A_t9.9,dSep_F_minus_A_t9.9
80,150,101,10,0,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,1,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,2,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,0,captured,captured,5.0,5.5,0.5,14.0,14.0,0.0,5.0,3.7,0,1.8,0.5,0.0,49,5.0,0.0,0.5,0.0,-2.0,5.0,not both alive,not both alive,not both alive,not both alive
80,150,101,15,1,captured,captured,5.0,5.5,0.5,14.0,14.0,0.0,5.0,3.7,0,1.8,0.5,0.0,49,5.0,0.0,0.5,0.0,-2.0,5.0,not both alive,not both alive,not both alive,not both alive
80,150,101,15,2,captured,captured,5.0,5.5,0.5,14.0,14.0,0.0,5.0,3.7,0,1.8,0.5,0.0,49,5.0,0.0,0.5,0.0,-2.0,5.0,not both alive,not both alive,not both alive,not both alive
80,150,101,20,0,captured,captured,6.0,6.0,0.0,14.0,14.0,0.0,6.0,4.1,0,1.9,0.5,0.0,59,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,not both alive,not both alive
80,150,101,20,1,captured,captured,6.0,6.0,0.0,14.0,14.0,0.0,6.0,4.1,0,1.9,0.5,0.0,59,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,not both alive,not both alive
80,150,101,20,2,captured,captured,6.0,6.0,0.0,14.0,14.0,0.0,6.0,4.1,0,1.9,0.5,0.0,59,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,not both alive,not both alive
80,150,200,10,0,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,1,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,10,2,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,200,15,0,captured,captured,3.0,3.1,0.10000000000000009,10.0,10.0,0.0,3.0,1.3,0,1.8,0.5,0.0,29,5.0,0.0,0.5,0.0,-2.0,5.0,not both alive,not both alive,not both alive,not both alive
80,150,200,15,1,captured,captured,3.0,3.1,0.10000000000000009,10.0,10.0,0.0,3.0,1.3,0,1.8,0.5,0.0,29,5.0,0.0,0.5,0.0,-2.0,5.0,not both alive,not both alive,not both alive,not both alive
80,150,200,15,2,captured,captured,3.0,3.1,0.10000000000000009,10.0,10.0,0.0,3.0,1.3,0,1.8,0.5,0.0,29,5.0,0.0,0.5,0.0,-2.0,5.0,not both alive,not both alive,not both alive,not both alive
80,150,200,20,0,captured,captured,3.2,3.2,0.0,10.0,10.0,0.0,3.2,1.3,0,1.9,0.5,0.0,31,0.0,0.0,0.5,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive
80,150,200,20,1,captured,captured,3.2,3.2,0.0,10.0,10.0,0.0,3.2,1.3,0,1.9,0.5,0.0,31,0.0,0.0,0.5,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive
80,150,200,20,2,captured,captured,3.2,3.2,0.0,10.0,10.0,0.0,3.2,1.3,0,1.9,0.5,0.0,31,0.0,0.0,0.5,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive
80,300,101,10,0,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,1,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,300,101,10,2,captured,captured,1.4,1.4,0.0,10.0,10.0,0.0,1.4,1.3,0,0.1,0.5,0.0,13,0.0,0.0,0.5,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
