d,agent_energy0,pred_energy0,arm,seed,outcome,event_time,censored_at_10s,steps_run,min_separation,min_separation_time,time_chase,time_circle,time_no_target,time_sleep,time_unidentified,predicate_mismatches,decision_steps,first_pred_perception_loss,first_sleep,first_wake_after_sleep,first_below_sprint_threshold,first_sprint_clamp,first_circle,first_chase,sleep_agent_energy,sleep_separation,sleep_escape_displacement,sleep_agent_energy_ge_20pct,survived_until_pred_sleep,final_t,final_agent_energy,final_separation,final_escape_displacement,final_pred_energy,pred_asleep_at_end,agent_energy_used,agent_move_cost,agent_turn_cost,agent_drain_derived,pred_displacement,pred_displacement_along_escape,pred_energy_used,runtime_sec,trajectory_digest_norng,trajectory_digest,validity
80,150,101,S0,0,captured,0.5,False,5,5.0,0.5,0.5,0,0,0,0,0,5,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,0.5,,,-0.0,200.0,False,0.4999999999999716,0.0,0.0,0.4999999999999716,75.0,75.0,-99.0,0.00845550000667572,fa81cbf52b685b35,dfb1c3f5420e03a0,valid
80,150,101,A10,0,captured,1.4,False,14,10.0,1.4,1.4,0,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.89999999999992,7.0,0.5,1.3999999999999204,210.0,210.0,-99.0,0.012343999929726124,56f6f5ea735f9b98,3bc8ee8e15f5bcfa,valid
80,150,101,F10,0,captured,1.4,False,14,10.0,1.4,1.3,0.1,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,0.2,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.39999999999992,7.0,0.0,1.3999999999999204,210.0,210.0,-99.0,0.012359699932858348,91eacc9ed7ceed17,4a26e558c97bf3b0,valid
80,150,101,A15,0,captured,5.0,False,50,14.0,5.0,5.0,0,0,0,0,0,50,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.7,1.7,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,5.0,,,580.0,105.00000000000038,False,70.49999999999972,65.0,0.5,4.999999999999716,646.0,646.0,-4.000000000000384,0.05794690002221614,976d0359bb5320f0,bfb3c633759835d6,valid
80,150,101,F15,0,captured,5.5,False,55,14.0,5.5,3.7,1.8,0,0,0,0,55,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.8,1.8,0.1,1.9,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,5.5,,,635.0,97.25000000000041,False,75.49999999999969,70.0,0.0,5.499999999999687,701.0,701.0,3.749999999999588,0.06899389997124672,29c03fb8332ac8cc,7f3efa069a3638a4,valid
80,150,101,A20,0,captured,6.0,False,60,14.0,6.0,6.0,0,0,0,0,0,60,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,6.0,,,690.0,88.50000000000043,False,81.49999999999966,75.0,0.5,5.999999999999659,756.0,756.0,12.499999999999574,0.05673270008992404,2bc48bf355b2299d,260e0a283e331f91,valid
80,150,101,F20,0,captured,6.0,False,60,14.0,6.0,4.1,1.9,0,0,0,0,60,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,0.1,2.0,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,6.0,,,690.0,89.00000000000043,False,80.99999999999966,75.0,0.0,5.999999999999659,756.0,756.0,11.999999999999574,0.04849990003276616,4cfb106a6b266d02,a36729b57dbb6c88,valid
80,150,101,S0,1,captured,0.5,False,5,5.0,0.5,0.5,0,0,0,0,0,5,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,0.5,,,-0.0,200.0,False,0.4999999999999716,0.0,0.0,0.4999999999999716,75.0,75.0,-99.0,0.004445800092071295,fa81cbf52b685b35,63c6156cdfcc74b4,valid
80,150,101,A10,1,captured,1.4,False,14,10.0,1.4,1.4,0,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.89999999999992,7.0,0.5,1.3999999999999204,210.0,210.0,-99.0,0.00983779993839562,56f6f5ea735f9b98,aa179c386059bf09,valid
80,150,101,F10,1,captured,1.4,False,14,10.0,1.4,1.3,0.1,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,0.2,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.39999999999992,7.0,0.0,1.3999999999999204,210.0,210.0,-99.0,0.011137600056827068,91eacc9ed7ceed17,99d235c99b714f48,valid
80,150,101,A15,1,captured,5.0,False,50,14.0,5.0,5.0,0,0,0,0,0,50,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.7,1.7,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,5.0,,,580.0,105.00000000000038,False,70.49999999999972,65.0,0.5,4.999999999999716,646.0,646.0,-4.000000000000384,0.041402800008654594,976d0359bb5320f0,a67fd1d64c5b30a9,valid
80,150,101,F15,1,captured,5.5,False,55,14.0,5.5,3.7,1.8,0,0,0,0,55,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.8,1.8,0.1,1.9,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,5.5,,,635.0,97.25000000000041,False,75.49999999999969,70.0,0.0,5.499999999999687,701.0,701.0,3.749999999999588,0.05332569999154657,29c03fb8332ac8cc,6fa8fff0145da489,valid
80,150,101,A20,1,captured,6.0,False,60,14.0,6.0,6.0,0,0,0,0,0,60,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,6.0,,,690.0,88.50000000000043,False,81.49999999999966,75.0,0.5,5.999999999999659,756.0,756.0,12.499999999999574,0.044456600095145404,2bc48bf355b2299d,33f7eb7049fd82f1,valid
80,150,101,F20,1,captured,6.0,False,60,14.0,6.0,4.1,1.9,0,0,0,0,60,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,0.1,2.0,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,6.0,,,690.0,89.00000000000043,False,80.99999999999966,75.0,0.0,5.999999999999659,756.0,756.0,11.999999999999574,0.05844890000298619,4cfb106a6b266d02,c9a08afd32e5efbc,valid
80,150,101,S0,2,captured,0.5,False,5,5.0,0.5,0.5,0,0,0,0,0,5,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,0.5,,,-0.0,200.0,False,0.4999999999999716,0.0,0.0,0.4999999999999716,75.0,75.0,-99.0,0.004844499984756112,fa81cbf52b685b35,7b17018c9f34936f,valid
80,150,101,A10,2,captured,1.4,False,14,10.0,1.4,1.4,0,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.89999999999992,7.0,0.5,1.3999999999999204,210.0,210.0,-99.0,0.010426199994981289,56f6f5ea735f9b98,217c36af48ed04b2,valid
80,150,101,F10,2,captured,1.4,False,14,10.0,1.4,1.3,0.1,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,0.2,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.39999999999992,7.0,0.0,1.3999999999999204,210.0,210.0,-99.0,0.013674300047568977,91eacc9ed7ceed17,c173b56fcf0aa9c8,valid
80,150,101,A15,2,captured,5.0,False,50,14.0,5.0,5.0,0,0,0,0,0,50,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.7,1.7,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,5.0,,,580.0,105.00000000000038,False,70.49999999999972,65.0,0.5,4.999999999999716,646.0,646.0,-4.000000000000384,0.04808849992696196,976d0359bb5320f0,4659d0cee8bcc03d,valid
80,150,101,F15,2,captured,5.5,False,55,14.0,5.5,3.7,1.8,0,0,0,0,55,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.8,1.8,0.1,1.9,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,5.5,,,635.0,97.25000000000041,False,75.49999999999969,70.0,0.0,5.499999999999687,701.0,701.0,3.749999999999588,0.04947019997052848,29c03fb8332ac8cc,b7883300f1409ab1,valid
80,150,101,A20,2,captured,6.0,False,60,14.0,6.0,6.0,0,0,0,0,0,60,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,6.0,,,690.0,88.50000000000043,False,81.49999999999966,75.0,0.5,5.999999999999659,756.0,756.0,12.499999999999574,0.04911229992285371,2bc48bf355b2299d,8d727633fba873c9,valid
80,150,101,F20,2,captured,6.0,False,60,14.0,6.0,4.1,1.9,0,0,0,0,60,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,0.1,2.0,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,6.0,,,690.0,89.00000000000043,False,80.99999999999966,75.0,0.0,5.999999999999659,756.0,756.0,11.999999999999574,0.05643110000528395,4cfb106a6b266d02,b71d5caa27ca011f,valid
80,150,200,S0,0,captured,0.5,False,5,5.0,0.5,0.5,0,0,0,0,0,5,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,0.5,,,-0.0,200.0,False,0.4999999999999716,0.0,0.0,0.4999999999999716,75.0,75.0,0.0,0.008637299994006753,b778f3fe9b220efb,6b26762b232bd441,valid
80,150,200,A10,0,captured,1.4,False,14,10.0,1.4,1.4,0,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.89999999999992,7.0,0.5,1.3999999999999204,210.0,210.0,0.0,0.020618800073862076,e5b1df53b2e2eeaf,3290424d27dae3ab,valid
80,150,200,F10,0,captured,1.4,False,14,10.0,1.4,1.3,0.1,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,0.2,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.39999999999992,7.0,0.0,1.3999999999999204,210.0,210.0,0.0,0.022164300084114075,c3b04067681c21f0,7b609435acbfc499,valid
80,150,200,A15,0,captured,3.0,False,30,10.0,3.0,3.0,0,0,0,0,0,30,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.7,1.7,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,3.0,,,380.0,200.0,False,58.49999999999983,55.0,0.5,2.9999999999998295,450.0,450.0,0.0,0.049425800098106265,750a6375db5bc592,157fcdeeb9d7943d,valid
80,150,200,F15,0,captured,3.1,False,31,10.0,3.1,1.3,1.8,0,0,0,0,31,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.8,1.8,0.1,1.9,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,3.1,,,395.0,200.0,False,61.099999999999824,58.0,0.0,3.099999999999824,465.0,465.0,0.0,0.05837519990745932,637d19e5e7979e10,3b98e2c98b81bc92,valid
80,150,200,A20,0,captured,3.2,False,32,10.0,3.2,3.2,0,0,0,0,0,32,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,3.2,,,410.0,200.0,False,64.69999999999982,61.0,0.5,3.199999999999818,480.0,480.0,0.0,0.06026719999499619,e20fbbebee1173e5,ade6fb93453e7980,valid
80,150,200,F20,0,captured,3.2,False,32,10.0,3.2,1.3,1.9,0,0,0,0,32,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,0.1,2.0,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,3.2,,,410.0,200.0,False,64.19999999999982,61.0,0.0,3.199999999999818,480.0,480.0,0.0,0.06128230004105717,b8d5ce2fbb2d42ec,388a47a3115e03c1,valid
80,150,200,S0,1,captured,0.5,False,5,5.0,0.5,0.5,0,0,0,0,0,5,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,0.5,,,-0.0,200.0,False,0.4999999999999716,0.0,0.0,0.4999999999999716,75.0,75.0,0.0,0.010405499953776598,b778f3fe9b220efb,8ec7a345f84e156f,valid
80,150,200,A10,1,captured,1.4,False,14,10.0,1.4,1.4,0,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.89999999999992,7.0,0.5,1.3999999999999204,210.0,210.0,0.0,0.025133399991318583,e5b1df53b2e2eeaf,593351b254ba90e1,valid
80,150,200,F10,1,captured,1.4,False,14,10.0,1.4,1.3,0.1,0,0,0,0,14,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,0.2,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,1.4,,,140.0,200.0,False,8.39999999999992,7.0,0.0,1.3999999999999204,210.0,210.0,0.0,0.03135689999908209,c3b04067681c21f0,0114fdb3a3973630,valid
80,150,200,A15,1,captured,3.0,False,30,10.0,3.0,3.0,0,0,0,0,0,30,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.7,1.7,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,3.0,,,380.0,200.0,False,58.49999999999983,55.0,0.5,2.9999999999998295,450.0,450.0,0.0,0.04848669993225485,750a6375db5bc592,65fdf6f579c8d61a,valid
80,150,200,F15,1,captured,3.1,False,31,10.0,3.1,1.3,1.8,0,0,0,0,31,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.8,1.8,0.1,1.9,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,3.1,,,395.0,200.0,False,61.099999999999824,58.0,0.0,3.099999999999824,465.0,465.0,0.0,0.056962499977089465,637d19e5e7979e10,eec0a4668f347965,valid
80,150,200,A20,1,captured,3.2,False,32,10.0,3.2,3.2,0,0,0,0,0,32,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,3.2,,,410.0,200.0,False,64.69999999999982,61.0,0.5,3.199999999999818,480.0,480.0,0.0,0.06613289995584637,e20fbbebee1173e5,18f5727a6bc1e314,valid
80,150,200,F20,1,captured,3.2,False,32,10.0,3.2,1.3,1.9,0,0,0,0,32,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,0.1,2.0,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,3.2,,,410.0,200.0,False,64.19999999999982,61.0,0.0,3.199999999999818,480.0,480.0,0.0,0.057417199946939945,b8d5ce2fbb2d42ec,13242bb7cd1b00a2,valid
80,150,200,S0,2,captured,0.5,False,5,5.0,0.5,0.5,0,0,0,0,0,5,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,0.1,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,False,0.5,,,-0.0,200.0,False,0.4999999999999716,0.0,0.0,0.4999999999999716,75.0,75.0,0.0,0.011419099988415837,b778f3fe9b220efb,bbcde795688385f9,valid
