d,agent_energy0,pred_energy0,speed,seed,comparison,base,other,base_outcome,other_outcome,base_event_time,other_event_time,common_alive_ticks,delta_event_time_other_minus_base,dE_agent_t1,dSep_t1,dPredDispAlongEscape_t1,dE_agent_t5,dSep_t5,dPredDispAlongEscape_t5,dE_agent_t10,dSep_t10,dPredDispAlongEscape_t10,dE_agent_t20,dSep_t20,dPredDispAlongEscape_t20,dE_agent_t29,dSep_t29,dPredDispAlongEscape_t29
80,150,101,10,0,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,0,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,0,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,1,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,1,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,1,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,2,plus15_minus_0,delta0,D+15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,2,minus15_minus_0,delta0,D-15,captured,captured,1.4,1.5,13,0.1,-0.10195288345852305,9.225965986536764,-9.188290669976595,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,10,2,plus15_vs_minus15,D+15,D-15,captured,captured,1.5,1.5,14,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,0,plus15_minus_0,delta0,D+15,captured,energy_death,5.5,17.9,54,12.4,-0.11876992759472671,39.09190376609776,-18.179236204473455,-0.24298134714828734,44.252002914293854,-38.90188482274607,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,0,minus15_minus_0,delta0,D-15,captured,energy_death,5.5,17.9,54,12.4,-0.11876992759472671,39.09190376609776,-18.179236204473455,-0.24298134714828734,44.252002914293854,-38.90188482274607,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,0,plus15_vs_minus15,D+15,D-15,energy_death,energy_death,17.9,17.9,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
80,150,101,15,1,plus15_minus_0,delta0,D+15,captured,energy_death,5.5,17.9,54,12.4,-0.11876992759472671,39.09190376609776,-18.179236204473455,-0.24298134714828734,44.252002914293854,-38.90188482274607,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive,not both alive
