d,agent_energy0,pred_energy0,arm,speed,delta_deg,seed,outcome,event_time,censored_at_30s,steps_run,post_death_steps_run,min_separation,min_separation_time,time_chase,time_circle,time_edge_avoid,time_wander,time_sleep,time_ambiguous,time_unidentified,predicate_mismatches,decision_steps,eligible_circle_ticks,eligible_edge_avoid_ticks,nonzero_pivot_ticks,any_edge_ever_in_controller_obs,any_edge_ever_in_pred_obs,first_pred_perception_loss,first_sleep,first_wake_after_sleep,first_below_sprint_threshold,first_sprint_clamp,final_t,final_agent_energy,final_separation,final_pred_energy,pred_asleep_at_end,agent_energy_used,agent_move_cost,agent_turn_cost,pred_displacement_along_escape_from_own_start,pred_dist_from_ref_final,pred_energy_at_kill_pre,pred_energy_at_kill_post,pred_xy_at_kill,killed_agent_energy_pre_removal,post_death_snapshots,post_death_final_pred_xy,post_death_min_dist_to_ref,post_death_wake_events,post_death_sleep_events,runtime_sec,trajectory_digest_norng,trajectory_digest,validity
80,150,101,S10_D0,10.0,0.0,0,captured,1.4,False,14,100,10.0,1.4,1.3,0.1,0,0,0,0,0,0,14,1,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.4,,,200.0,False,,7.0,0.0,210.0,130.0,65.30000000000004,200.0,"[-130.0, 0.0]",141.60000000000008,"{""+1s"": {""pred_xy"": [-238.34245486399413, -15.75898799150491], ""pred_energy"": 194.44185839681748, ""pred_resting"": false, ""dist_to_ref"": 238.86287173420544}, ""+5s"": {""pred_xy"": [-609.005858549699, -241.71203047623385], ""pred_energy"": 172.1043359196038, ""pred_resting"": false, ""dist_to_ref"": 655.2196894361462}, ""+10s"": {""pred_xy"": [-1135.0337182055891, -327.92099573991163], ""pred_energy"": 144.17257128656223, ""pred_resting"": false, ""dist_to_ref"": 1181.4540705887216}}","[-1135.0337182055891, -327.92099573991163]",141.0,0,0,0.02796990005299449,69f01d94b8c8d77f,bb1a4bc97c698d18,valid
80,150,101,S10_D0,10.0,0.0,1,captured,1.4,False,14,100,10.0,1.4,1.3,0.1,0,0,0,0,0,0,14,1,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.4,,,200.0,False,,7.0,0.0,210.0,130.0,65.30000000000004,200.0,"[-130.0, 0.0]",141.60000000000008,"{""+1s"": {""pred_xy"": [-239.80053057708392, 4.673063878432913], ""pred_energy"": 194.4290345377026, ""pred_resting"": false, ""dist_to_ref"": 239.84605894419627}, ""+5s"": {""pred_xy"": [-670.9667289655163, 68.5699706039295], ""pred_energy"": 172.15567994586064, ""pred_resting"": false, ""dist_to_ref"": 674.4614090126346}, ""+10s"": {""pred_xy"": [-1211.4268156640828, 79.88469261814589], ""pred_energy"": 144.2423716051006, ""pred_resting"": false, ""dist_to_ref"": 1214.0578626345268}}","[-1211.4268156640828, 79.88469261814589]",141.0,0,0,0.029250799911096692,69f01d94b8c8d77f,582600a36b3a4b0f,valid
80,150,101,S10_D0,10.0,0.0,2,captured,1.4,False,14,100,10.0,1.4,1.3,0.1,0,0,0,0,0,0,14,1,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.4,,,200.0,False,,7.0,0.0,210.0,130.0,65.30000000000004,200.0,"[-130.0, 0.0]",141.60000000000008,"{""+1s"": {""pred_xy"": [-238.80183666132507, -13.372956404003162], ""pred_energy"": 194.41700950801516, ""pred_resting"": false, ""dist_to_ref"": 239.1759878328206}, ""+5s"": {""pred_xy"": [-675.1232058722262, -29.43043518452305], ""pred_energy"": 172.0951639496943, ""pred_resting"": false, ""dist_to_ref"": 675.7643772960681}, ""+10s"": {""pred_xy"": [-1209.5390129070374, 39.70753730542765], ""pred_energy"": 144.19815196033116, ""pred_resting"": false, ""dist_to_ref"": 1210.1906098887862}}","[-1209.5390129070374, 39.70753730542765]",141.0,0,0,0.0312809000024572,69f01d94b8c8d77f,06b3878b35d04606,valid
80,150,101,S10_D+15,10.0,15.0,0,captured,1.5,False,15,100,14.228971814015088,1.5,1.3,0.2,0,0,0,0,0,0,15,2,0,15,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.5,,,200.0,False,,7.5,0.11116907840377621,215.77132318363874,135.77135409936685,62.67569330667614,200.0,"[-135.77132318363874, 0.09162390288292954]",140.8888309215963,"{""+1s"": {""pred_xy"": [-244.86916465868399, 13.238733089414382], ""pred_energy"": 194.4293177807291, ""pred_resting"": false, ""dist_to_ref"": 245.22677638148417}, ""+5s"": {""pred_xy"": [-682.0055417567955, 21.9720967907906], ""pred_energy"": 172.1216235578595, ""pred_resting"": false, ""dist_to_ref"": 682.3593862653053}, ""+10s"": {""pred_xy"": [-1201.8976555355966, -93.89625436174356], ""pred_energy"": 144.28946544273063, ""pred_resting"": false, ""dist_to_ref"": 1205.5598205668307}}","[-1201.8976555355966, -93.89625436174356]",146.76540696665802,0,0,0.026968799997121096,5e49554fd70f2669,ce30975e27479d23,valid
80,150,101,S10_D+15,10.0,15.0,1,captured,1.5,False,15,100,14.228971814015088,1.5,1.3,0.2,0,0,0,0,0,0,15,2,0,15,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.5,,,200.0,False,,7.5,0.11116907840377621,215.77132318363874,135.77135409936685,62.67569330667614,200.0,"[-135.77132318363874, 0.09162390288292954]",140.8888309215963,"{""+1s"": {""pred_xy"": [-245.1849005577651, 9.994500517386768], ""pred_energy"": 194.41547800979998, ""pred_resting"": false, ""dist_to_ref"": 245.3885194994118}, ""+5s"": {""pred_xy"": [-676.6059664462446, 69.2906031216944], ""pred_energy"": 172.09618009199735, ""pred_resting"": false, ""dist_to_ref"": 680.1447063027285}, ""+10s"": {""pred_xy"": [-1158.4500466466325, 297.8731116321942], ""pred_energy"": 144.14963320494022, ""pred_resting"": false, ""dist_to_ref"": 1196.1333124735847}}","[-1158.4500466466325, 297.8731116321942]",146.76540696665802,0,0,0.026620199903845787,5e49554fd70f2669,524379ba5e5375bc,valid
80,150,101,S10_D+15,10.0,15.0,2,captured,1.5,False,15,100,14.228971814015088,1.5,1.3,0.2,0,0,0,0,0,0,15,2,0,15,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.5,,,200.0,False,,7.5,0.11116907840377621,215.77132318363874,135.77135409936685,62.67569330667614,200.0,"[-135.77132318363874, 0.09162390288292954]",140.8888309215963,"{""+1s"": {""pred_xy"": [-244.7235169212363, -7.286251803480809], ""pred_energy"": 194.41433889090223, ""pred_resting"": false, ""dist_to_ref"": 244.83196114813595}, ""+5s"": {""pred_xy"": [-657.398952744008, -155.84659671624922], ""pred_energy"": 172.09462420532066, ""pred_resting"": false, ""dist_to_ref"": 675.6193786274605}, ""+10s"": {""pred_xy"": [-1203.7512303479716, -160.6633317734022], ""pred_energy"": 144.24267121488927, ""pred_resting"": false, ""dist_to_ref"": 1214.4256793813222}}","[-1203.7512303479716, -160.6633317734022]",146.76540696665802,0,0,0.026934499968774617,5e49554fd70f2669,06c10f9e570da6eb,valid
80,150,101,S10_D-15,10.0,-15.0,0,captured,1.5,False,15,100,14.228971814015088,1.5,1.3,0.2,0,0,0,0,0,0,15,2,0,15,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.5,,,200.0,False,,7.5,0.11116907840377621,215.77132318363874,135.77135409936685,62.67569330667614,200.0,"[-135.77132318363874, -0.09162390288292954]",140.8888309215963,"{""+1s"": {""pred_xy"": [-245.52004961183775, 5.422226100959051], ""pred_energy"": 194.4293177807291, ""pred_resting"": false, ""dist_to_ref"": 245.57991631501383}, ""+5s"": {""pred_xy"": [-682.2025871693222, -16.322778299160746], ""pred_energy"": 172.1216235578595, ""pred_resting"": false, ""dist_to_ref"": 682.3978334021293}, ""+10s"": {""pred_xy"": [-1192.7582185760912, -168.13263307490342], ""pred_energy"": 144.28946544273063, ""pred_resting"": false, ""dist_to_ref"": 1204.55001983542}}","[-1192.7582185760912, -168.13263307490342]",146.76540696665802,0,0,0.02653710008598864,42bbbf0df82308d5,605abe47f32647df,valid
80,150,101,S10_D-15,10.0,-15.0,1,captured,1.5,False,15,100,14.228971814015088,1.5,1.3,0.2,0,0,0,0,0,0,15,2,0,15,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.5,,,200.0,False,,7.5,0.11116907840377621,215.77132318363874,135.77135409936685,62.67569330667614,200.0,"[-135.77132318363874, -0.09162390288292954]",140.8888309215963,"{""+1s"": {""pred_xy"": [-245.6089787742476, 2.163879013330188], ""pred_energy"": 194.41547800979998, ""pred_resting"": false, ""dist_to_ref"": 245.61851075786845}, ""+5s"": {""pred_xy"": [-680.1130148236316, 31.256945768278456], ""pred_energy"": 172.09618009199735, ""pred_resting"": false, ""dist_to_ref"": 680.8308964722814}, ""+10s"": {""pred_xy"": [-1176.7124284830943, 225.71183301512974], ""pred_energy"": 144.14963320494022, ""pred_resting"": false, ""dist_to_ref"": 1198.1644173107593}}","[-1176.7124284830943, 225.71183301512974]",146.76540696665802,0,0,0.05974580009933561,42bbbf0df82308d5,9a36b11e2293b4da,valid
80,150,101,S10_D-15,10.0,-15.0,2,captured,1.5,False,15,100,14.228971814015088,1.5,1.3,0.2,0,0,0,0,0,0,15,2,0,15,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.5,,,200.0,False,,7.5,0.11116907840377621,215.77132318363874,135.77135409936685,62.67569330667614,200.0,"[-135.77132318363874, -0.09162390288292954]",140.8888309215963,"{""+1s"": {""pred_xy"": [-243.94469313235004, -15.04273102285515], ""pred_energy"": 194.41433889090223, ""pred_resting"": false, ""dist_to_ref"": 244.40805441732562}, ""+5s"": {""pred_xy"": [-645.2664150692199, -191.99489098067625], ""pred_energy"": 172.09462420532066, ""pred_resting"": false, ""dist_to_ref"": 673.2241711190742}, ""+10s"": {""pred_xy"": [-1189.9553435408743, -234.8665993680679], ""pred_energy"": 144.24267121488927, ""pred_resting"": false, ""dist_to_ref"": 1212.9122141029832}}","[-1189.9553435408743, -234.8665993680679]",146.76540696665802,0,0,0.042915400001220405,42bbbf0df82308d5,5705cbfdbb9c423d,valid
80,150,101,S15_D0,15.0,0.0,0,captured,5.5,False,55,100,14.0,5.5,3.7,1.8,0,0,0,0,0,0,55,18,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.8,1.8,5.5,,,97.25000000000041,False,,70.0,0.0,701.0,621.0,22.750000000000096,97.25000000000041,"[-621.0, 0.0]",74.50000000000031,"{""+1s"": {""pred_xy"": [-729.7082205029301, 14.502342135259823], ""pred_energy"": 91.67088818374775, ""pred_resting"": false, ""dist_to_ref"": 729.85231725121}, ""+5s"": {""pred_xy"": [-1144.4616070694, 151.47731568693143], ""pred_energy"": 69.34295725939789, ""pred_resting"": false, ""dist_to_ref"": 1154.4426132223257}, ""+10s"": {""pred_xy"": [-1650.1319681709338, 358.21560171242345], ""pred_energy"": 41.41173819289872, ""pred_resting"": false, ""dist_to_ref"": 1688.5656426949688}}","[-1650.1319681709338, 358.21560171242345]",632.0,0,0,0.07611309993080795,66f9bdb66d40b28b,b4542658af300ecb,valid
80,150,101,S15_D0,15.0,0.0,1,captured,5.5,False,55,100,14.0,5.5,3.7,1.8,0,0,0,0,0,0,55,18,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.8,1.8,5.5,,,97.25000000000041,False,,70.0,0.0,701.0,621.0,22.750000000000096,97.25000000000041,"[-621.0, 0.0]",74.50000000000031,"{""+1s"": {""pred_xy"": [-730.6328863734825, 6.722289878866832], ""pred_energy"": 91.67520179625761, ""pred_resting"": false, ""dist_to_ref"": 730.6638104023366}, ""+5s"": {""pred_xy"": [-1167.489270590393, 37.78740678655686], ""pred_energy"": 69.32394544055836, ""pred_resting"": false, ""dist_to_ref"": 1168.1006313906953}, ""+10s"": {""pred_xy"": [-1715.8208010395983, 36.80813365485574], ""pred_energy"": 41.42633484992352, ""pred_resting"": false, ""dist_to_ref"": 1716.2155633787156}}","[-1715.8208010395983, 36.80813365485574]",632.0,0,0,0.09524330007843673,66f9bdb66d40b28b,072d874a334195d3,valid
80,150,101,S15_D0,15.0,0.0,2,captured,5.5,False,55,100,14.0,5.5,3.7,1.8,0,0,0,0,0,0,55,18,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.8,1.8,5.5,,,97.25000000000041,False,,70.0,0.0,701.0,621.0,22.750000000000096,97.25000000000041,"[-621.0, 0.0]",74.50000000000031,"{""+1s"": {""pred_xy"": [-728.5408510767193, 20.778613755818697], ""pred_energy"": 91.63554342772244, ""pred_resting"": false, ""dist_to_ref"": 728.8371028406855}, ""+5s"": {""pred_xy"": [-1097.4145057606675, 256.10788442588455], ""pred_energy"": 69.32244437437323, ""pred_resting"": false, ""dist_to_ref"": 1126.9027668432766}, ""+10s"": {""pred_xy"": [-1475.1073372527635, 650.6111718675947], ""pred_energy"": 41.424409193683594, ""pred_resting"": false, ""dist_to_ref"": 1612.214797530361}}","[-1475.1073372527635, 650.6111718675947]",632.0,0,0,0.07928099995478988,66f9bdb66d40b28b,bf220a07292908e3,valid
80,150,101,S15_D+15,15.0,15.0,0,energy_death,17.9,False,179,100,15.174042312170261,9.6,5.2,4.4,0,4.9,3.4,0,0,0,145,44,0,96,False,False,13.1,9.6,13.1,1.8,1.8,17.9,,,74.50579043281756,False,,132.0,0.32444742221926504,1637.629942270849,1560.2104694617663,,,,,"{""+1s"": {""pred_xy"": [-1664.3849613671027, 114.41219815014574], ""pred_energy"": 68.93158312135128, ""pred_resting"": false, ""dist_to_ref"": 1668.3127556637935}, ""+5s"": {""pred_xy"": [-2077.9258241249054, 220.46608496626504], ""pred_energy"": 46.54532650237405, ""pred_resting"": false, ""dist_to_ref"": 2089.5887215396046}, ""+10s"": {""pred_xy"": [-2506.4253235445003, 560.2335941433175], ""pred_energy"": 18.655613059355723, ""pred_resting"": false, ""dist_to_ref"": 2568.2736580263195}}","[-2506.4253235445003, 560.2335941433175]",1571.2103425663995,0,0,0.14135480008553714,f807fac5e9a58692,cf5fc5951371a56a,valid
80,150,101,S15_D+15,15.0,15.0,1,energy_death,17.9,False,179,100,15.174042312170261,9.6,5.2,4.4,0,4.9,3.4,0,0,0,145,44,0,96,False,False,13.1,9.6,13.1,1.8,1.8,17.9,,,74.5415899227482,False,,132.0,0.32444742221926504,1643.883488310612,1565.017919559127,,,,,"{""+1s"": {""pred_xy"": [-1673.2932552140473, 50.94950696634896], ""pred_energy"": 68.9617742349027, ""pred_resting"": false, ""dist_to_ref"": 1674.0687471561425}, ""+5s"": {""pred_xy"": [-2093.48849273666, -69.60100625109044], ""pred_energy"": 46.65200822118977, ""pred_resting"": false, ""dist_to_ref"": 2094.6451654855477}, ""+10s"": {""pred_xy"": [-2566.6638784202805, -332.0085454451046], ""pred_energy"": 18.7074198561074, ""pred_resting"": false, ""dist_to_ref"": 2588.0481330601274}}","[-2566.6638784202805, -332.0085454451046]",1576.0172602693651,0,0,0.14089100004639477,4b9f89593debc2ee,62bac0c7ff8e7b9b,valid
80,150,101,S15_D+15,15.0,15.0,2,energy_death,17.9,False,179,100,15.174042312170261,9.6,5.2,4.4,0,4.9,3.4,0,0,0,145,44,0,96,False,False,13.1,9.6,13.1,1.8,1.8,17.9,,,74.54614963830826,False,,132.0,0.32444742221926504,1632.1693340655465,1556.538818171202,,,,,"{""+1s"": {""pred_xy"": [-1656.3884220486852, 151.28711547493094], ""pred_energy"": 68.9616226918784, ""pred_resting"": false, ""dist_to_ref"": 1663.283017410344}, ""+5s"": {""pred_xy"": [-2073.0485321611513, 278.35911190532534], ""pred_energy"": 46.623784737469464, ""pred_resting"": false, ""dist_to_ref"": 2091.653415811574}, ""+10s"": {""pred_xy"": [-2563.890454477163, 515.982981581883], ""pred_energy"": 18.73133516543951, ""pred_resting"": false, ""dist_to_ref"": 2615.2959105694413}}","[-2563.890454477163, 515.982981581883]",1567.2675894429526,0,0,0.13474060001317412,cf3fbc1795d62d0c,36b6e81cd2f7fdbb,valid
80,150,101,S15_D-15,15.0,-15.0,0,energy_death,17.9,False,179,100,15.174042312170261,9.6,5.2,4.4,0,4.9,3.4,0,0,0,145,44,0,96,False,False,13.1,9.6,13.1,1.8,1.8,17.9,,,74.50579043281756,False,,132.0,0.32444742221926504,1641.9822160476388,1563.0805718682072,,,,,"{""+1s"": {""pred_xy"": [-1670.0029950882008, 76.99763635326781], ""pred_energy"": 68.93158312135128, ""pred_resting"": false, ""dist_to_ref"": 1671.7770902867258}, ""+5s"": {""pred_xy"": [-2089.0521414856266, 158.6143318442073], ""pred_energy"": 46.54532650237405, ""pred_resting"": false, ""dist_to_ref"": 2095.06500045036}, ""+10s"": {""pred_xy"": [-2536.741733578484, 472.66498130533546], ""pred_energy"": 18.655613059355723, ""pred_resting"": false, ""dist_to_ref"": 2580.401288061829}}","[-2536.741733578484, 472.66498130533546]",1574.0702516212837,0,0,0.13747940002940595,cdb4a0a45976b745,f5c9b9ba1fc01a2f,valid
80,150,101,S15_D-15,15.0,-15.0,1,energy_death,17.9,False,179,100,15.174042312170261,9.6,5.2,4.4,0,4.9,3.4,0,0,0,145,44,0,96,False,False,13.1,9.6,13.1,1.8,1.8,17.9,,,74.5415899227482,False,,132.0,0.32444742221926504,1646.458438123831,1566.7113922341828,,,,,"{""+1s"": {""pred_xy"": [-1675.1737974091157, 13.121712290198957], ""pred_energy"": 68.9617742349027, ""pred_resting"": false, ""dist_to_ref"": 1675.2251881044242}, ""+5s"": {""pred_xy"": [-2087.5752673335674, -131.8661888527149], ""pred_energy"": 46.65200822118977, ""pred_resting"": false, ""dist_to_ref"": 2091.735927058039}, ""+10s"": {""pred_xy"": [-2544.5456125687924, -421.57425884438544], ""pred_energy"": 18.7074198561074, ""pred_resting"": false, ""dist_to_ref"": 2579.231907014816}}","[-2544.5456125687924, -421.57425884438544]",1577.6979778481116,0,0,0.13856130000203848,a585fafc29a38ca0,d6aee18e5169bc9a,valid
80,150,101,S15_D-15,15.0,-15.0,2,energy_death,17.9,False,179,100,15.174042312170261,9.6,5.2,4.4,0,4.9,3.4,0,0,0,145,44,0,96,False,False,13.1,9.6,13.1,1.8,1.8,17.9,,,74.54614963830826,False,,132.0,0.32444742221926504,1638.105812956952,1560.461523809992,,,,,"{""+1s"": {""pred_xy"": [-1664.182975719783, 114.2780808695552], ""pred_energy"": 68.9616226918784, ""pred_resting"": false, ""dist_to_ref"": 1668.1020521667074}, ""+5s"": {""pred_xy"": [-2087.5787349485645, 216.69375692954054], ""pred_energy"": 46.623784737469464, ""pred_resting"": false, ""dist_to_ref"": 2098.795168400596}, ""+10s"": {""pred_xy"": [-2591.5125939049494, 425.12015146791964], ""pred_energy"": 18.73133516543951, ""pred_resting"": false, ""dist_to_ref"": 2626.1501608918074}}","[-2591.5125939049494, 425.12015146791964]",1571.2759026937804,0,0,0.148676999961026,a172980c5171847f,601f91f59ec9d6fa,valid
80,150,101,S20_D0,20.0,0.0,0,captured,6.0,False,60,100,14.0,6.0,4.1,1.9,0,0,0,0,0,0,60,19,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,6.0,,,89.00000000000043,False,,75.0,0.0,756.0,676.0,20.000000000000092,89.00000000000043,"[-676.0, 0.0]",69.00000000000034,"{""+1s"": {""pred_xy"": [-785.1394785400535, 11.375895404194125], ""pred_energy"": 83.40384595548743, ""pred_resting"": false, ""dist_to_ref"": 785.2218869583261}, ""+5s"": {""pred_xy"": [-1217.0060784504722, 58.69068004731889], ""pred_energy"": 61.12433937695583, ""pred_resting"": false, ""dist_to_ref"": 1218.4204491512007}, ""+10s"": {""pred_xy"": [-1733.5399412803154, -116.9220182430654], ""pred_energy"": 33.29540070973198, ""pred_resting"": false, ""dist_to_ref"": 1737.478485151454}}","[-1733.5399412803154, -116.9220182430654]",687.0,0,0,0.0874329999787733,972e44d5b549f598,5eda952515487e71,valid
80,150,101,S20_D0,20.0,0.0,1,captured,6.0,False,60,100,14.0,6.0,4.1,1.9,0,0,0,0,0,0,60,19,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,6.0,,,89.00000000000043,False,,75.0,0.0,756.0,676.0,20.000000000000092,89.00000000000043,"[-676.0, 0.0]",69.00000000000034,"{""+1s"": {""pred_xy"": [-781.4833046178655, 24.768361655987974], ""pred_energy"": 83.405392421518, ""pred_resting"": false, ""dist_to_ref"": 781.8757107978105}, ""+5s"": {""pred_xy"": [-1186.4831334821647, 190.82615882875234], ""pred_energy"": 61.04917135258153, ""pred_resting"": false, ""dist_to_ref"": 1201.7307722326962}, ""+10s"": {""pred_xy"": [-1492.4883822475076, 641.8139283360433], ""pred_energy"": 33.106617408332134, ""pred_resting"": false, ""dist_to_ref"": 1624.6374025455423}}","[-1492.4883822475076, 641.8139283360433]",687.0,0,0,0.08951700001489371,972e44d5b549f598,36787c99efa73cc9,valid
80,150,101,S20_D0,20.0,0.0,2,captured,6.0,False,60,100,14.0,6.0,4.1,1.9,0,0,0,0,0,0,60,19,0,0,False,False,not observed before death/horizon,not observed before death/horizon,not observed before death/horizon,1.0,1.0,6.0,,,89.00000000000043,False,,75.0,0.0,756.0,676.0,20.000000000000092,89.00000000000043,"[-676.0, 0.0]",69.00000000000034,"{""+1s"": {""pred_xy"": [-785.8456308559626, -0.8749641526283085], ""pred_energy"": 83.44067473817745, ""pred_resting"": false, ""dist_to_ref"": 785.8461179503746}, ""+5s"": {""pred_xy"": [-1194.9064077387548, 138.57867290970717], ""pred_energy"": 61.141870051068686, ""pred_resting"": false, ""dist_to_ref"": 1202.9153635399919}, ""+10s"": {""pred_xy"": [-1734.0608170098403, 190.64771633265445], ""pred_energy"": 33.30099102403315, ""pred_resting"": false, ""dist_to_ref"": 1744.5095209919868}}","[-1734.0608170098403, 190.64771633265445]",687.0,0,0,0.07372049998957664,972e44d5b549f598,e648b4f76bc6ad9c,valid
80,150,101,S20_D+15,20.0,15.0,0,energy_death,17.5,False,175,100,24.704163827749962,9.6,4.2,5.4,0,4.5,3.4,0,0,0,141,54,0,96,False,False,13.1,9.6,13.1,1.0,1.0,17.5,,,76.74182566998118,False,,132.5,0.32538602385658066,1589.3328028780716,1512.1017015632656,,,,,"{""+1s"": {""pred_xy"": [-1617.8878589558853, 100.79151358638592], ""pred_energy"": 71.14041957546041, ""pred_resting"": false, ""dist_to_ref"": 1621.0243839522875}, ""+5s"": {""pred_xy"": [-2038.3901059566133, 192.78000596831407], ""pred_energy"": 48.78581681242724, ""pred_resting"": false, ""dist_to_ref"": 2047.4858619201639}, ""+10s"": {""pred_xy"": [-2476.691504842044, 522.4866669910207], ""pred_energy"": 20.88272283974508, ""pred_resting"": false, ""dist_to_ref"": 2531.2038889311416}}","[-2476.691504842044, 522.4866669910207]",1523.0197712608124,0,0,0.15189920004922897,4cfa1d518708e8f5,a4848b6a67735e76,valid
80,150,101,S20_D+15,20.0,15.0,1,energy_death,17.5,False,175,100,24.704163827749962,9.6,4.2,5.4,0,4.5,3.4,0,0,0,141,54,0,96,False,False,13.1,9.6,13.1,1.0,1.0,17.5,,,76.76737823910821,False,,132.5,0.32538602385658066,1595.6132423193112,1516.6240286971781,,,,,"{""+1s"": {""pred_xy"": [-1624.9778015093943, 52.768115522095286], ""pred_energy"": 71.19703993688704, ""pred_resting"": false, ""dist_to_ref"": 1625.8343487004013}, ""+5s"": {""pred_xy"": [-2051.1836539665383, -48.63719301236233], ""pred_energy"": 48.8763163550406, ""pred_resting"": false, ""dist_to_ref"": 2051.760209879225}, ""+10s"": {""pred_xy"": [-2518.2761280773148, -327.0441920639223], ""pred_energy"": 20.94091074454495, ""pred_resting"": false, ""dist_to_ref"": 2539.4236670565265}}","[-2518.2761280773148, -327.0441920639223]",1527.6119625742162,0,0,0.14918380009476095,22199acd9ad48f23,c96b98772556a6ed,valid
80,150,101,S20_D+15,20.0,15.0,2,energy_death,17.5,False,175,100,24.704163827749962,9.6,4.2,5.4,0,4.5,3.4,0,0,0,141,54,0,96,False,False,13.1,9.6,13.1,1.0,1.0,17.5,,,76.76906865193911,False,,132.5,0.32538602385658066,1586.4287399532423,1509.8054771760542,,,,,"{""+1s"": {""pred_xy"": [-1610.5125513412095, 135.992673840693], ""pred_energy"": 71.19043966672724, ""pred_resting"": false, ""dist_to_ref"": 1616.2440055158481}, ""+5s"": {""pred_xy"": [-2030.6435224977913, 255.2217409164423], ""pred_energy"": 48.85603684685015, ""pred_resting"": false, ""dist_to_ref"": 2046.6194693930422}, ""+10s"": {""pred_xy"": [-2523.0767556937735, 489.92696550094115], ""pred_energy"": 20.95504033514312, ""pred_resting"": false, ""dist_to_ref"": 2570.203250065484}}","[-2523.0767556937735, 489.92696550094115]",1520.269952773314,0,0,0.14110729994717985,8570199453362c5a,1238580679a93ace,valid
80,150,101,S20_D-15,20.0,-15.0,0,energy_death,17.5,False,175,100,24.704163827749053,9.6,4.2,5.4,0,4.5,3.4,0,0,0,141,54,0,96,False,False,13.1,9.6,13.1,1.0,1.0,17.5,,,76.74182566998117,False,,132.5,0.32538602385658777,1593.66158567801,1515.033700459596,,,,,"{""+1s"": {""pred_xy"": [-1622.5668163180753, 67.75338430048214], ""pred_energy"": 71.1404195754604, ""pred_resting"": false, ""dist_to_ref"": 1623.9807863705603}, ""+5s"": {""pred_xy"": [-2047.524860604025, 136.27114156106109], ""pred_energy"": 48.78581681242723, ""pred_resting"": false, ""dist_to_ref"": 2052.0545506428152}, ""+10s"": {""pred_xy"": [-2503.4430182606475, 441.1534665762374], ""pred_energy"": 20.882722839745067, ""pred_resting"": false, ""dist_to_ref"": 2542.0156031681263}}","[-2503.4430182606475, 441.1534665762374]",1525.8940098246462,0,0,0.17555629997514188,739cec2867f853dd,17d3a88194379215,valid
